Source,Target,Weight
car,truck,21
erin,kayla,17
Jessica,Jennifer,17
Carrie,Samantha,16
Maria,megan,16
Laura,Jessica,15
Betty,Sarah,15
Lindsey,megan,15
kayla,Cynthia,15
Angela,Rachel,15
Betty,Angela,14
Jennifer,erin,14
Laura,megan,14
Elena,Katrina,14
carpet,hardwood,14
Joel,hunter,14
Elena,christine,14
Rachel,Samantha,14
Tanya,Natalie,14
Angela,christine,14
bowl,pan,13
Cynthia,Maria,13
Jessica,Tanya,13
Tanya,emily,13
amy,christine,13
rebecca,amy,13
Mary,Katrina,13
Felicia,christine,13
christine,Patricia,13
Neil,Samuel,13
Adam,Steven,13
Lindsey,Rachel,13
Christopher,Kenneth,13
christine,Carrie,13
truck,car,13
Rachel,Victoria,13
emily,Cynthia,13
christine,Monica,13
metal,wood,13
Patricia,Felicia,13
Elena,Carrie,13
Cynthia,Victoria,12
book,magazine,12
amy,Monica,12
Mary,kayla,12
Maria,christine,12
Elena,Laura,12
Mary,Rachel,12
Elena,Natalie,12
Sarah,kayla,12
kayla,Rachel,12
Jason,Derrick,12
Cynthia,Tanya,12
emily,kayla,12
Lindsey,Betty,12
Lindsey,Elena,12
Samantha,amy,12
Betty,rebecca,12
Victoria,Katrina,12
Sarah,Felicia,12
cat,dog,12
Katrina,Elena,12
Jessica,christine,12
Victoria,Lindsey,12
kayla,erin,12
Dennis,Aaron,12
kayla,Jennifer,12
megan,Carrie,12
Jessica,erin,12
Elena,kayla,12
Laura,Angela,12
Elena,Sarah,12
megan,Laura,12
Victoria,Patricia,12
Monica,Samantha,12
bottle,cup,12
Victoria,Mary,12
Tanya,Cynthia,11
Katrina,Sarah,11
Katrina,Tanya,11
Tanya,Felicia,11
christine,erin,11
Lindsey,amy,11
Tanya,Jessica,11
rebecca,Natalie,11
Natalie,megan,11
Jessica,Victoria,11
Rachel,Cynthia,11
Natalie,emily,11
christine,Victoria,11
erin,Laura,11
Katrina,Laura,11
emily,erin,11
Randy,kyle,11
christine,Jessica,11
Natalie,Monica,11
Tanya,rebecca,11
Lindsey,Victoria,11
wood,metal,11
Samantha,Monica,11
Patricia,Mary,11
megan,Elena,11
christine,rebecca,11
Sarah,Jessica,11
megan,Sarah,11
Laura,christine,11
Eric,Ian,11
Kevin,hunter,11
Patricia,Jennifer,11
kayla,emily,11
Cynthia,Jennifer,11
Elena,Victoria,11
Cynthia,megan,11
Elena,megan,11
Laura,Elena,11
Elena,Mary,11
Elena,Lindsey,11
Samantha,Patricia,11
Felicia,Sarah,11
erin,Jessica,11
erin,Felicia,11
Rachel,Betty,11
megan,Patricia,11
Carrie,Angela,11
amy,Carrie,11
emily,Patricia,11
Dennis,Neil,11
Felicia,Rachel,11
Justin,Leslie,11
emily,Jennifer,11
Sarah,rebecca,11
christine,Rachel,11
Sarah,christine,11
megan,Mary,11
Samantha,Betty,11
Mary,Lindsey,11
Jessica,Katrina,11
Monica,Katrina,11
Victoria,Natalie,11
Jeffrey,Christopher,11
Mary,Samantha,11
Monica,Felicia,11
Jason,Donald,11
Jason,Kenneth,11
Victoria,Laura,11
Maria,Natalie,11
amy,kayla,11
kayla,Lindsey,11
Victoria,Samantha,11
Mary,Betty,11
Rachel,emily,11
Jessica,Patricia,11
Mary,Jennifer,11
emily,christine,11
Jason,Benjamin,11
rebecca,Laura,10
Patricia,kayla,10
Mary,megan,10
Mary,rebecca,10
Mary,Victoria,10
Sarah,Katrina,10
Jennifer,kayla,10
kayla,Sarah,10
Lawrence,Adam,10
Mary,erin,10
Felicia,Katrina,10
Angela,Elena,10
Leslie,Christopher,10
Steven,Derrick,10
Leslie,Logan,10
Jennifer,Victoria,10
Carrie,Patricia,10
Carrie,Monica,10
Carrie,Mary,10
Neil,Derrick,10
Joel,Matthew,10
Angela,Natalie,10
Randy,Joseph,10
Joel,Logan,10
emily,rebecca,10
Felicia,erin,10
Patricia,Monica,10
Laura,Lindsey,10
erin,Cynthia,10
erin,Elena,10
Nick,Craig,10
Donald,Ryan,10
erin,Monica,10
kayla,rebecca,10
Kenneth,Brian,10
Samantha,Sarah,10
Donald,Kevin,10
Katrina,Angela,10
Katrina,Carrie,10
Katrina,Samantha,10
Katrina,Rachel,10
Derrick,William,10
Katrina,Patricia,10
Michael,Kevin,10
Donald,Christopher,10
Michael,Craig,10
kayla,Laura,10
Jennifer,Carrie,10
Cynthia,Lindsey,10
Laura,Victoria,10
Monica,Victoria,10
Joseph,kyle,10
Joel,Lawrence,10
rebecca,christine,10
Cynthia,Felicia,10
kayla,Jessica,10
erin,Sarah,10
Cynthia,Natalie,10
Elena,erin,10
Patricia,Lindsey,10
megan,Lindsey,10
emily,Sarah,10
amy,megan,10
Lindsey,Maria,10
Lindsey,Sarah,10
amy,Patricia,10
