,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_svc__C,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.20023870468139648,0.012032337517057831,0.013991546630859376,0.00538762433684019,0.85,0.1,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9253731343283582,0.9538461538461539,0.916030534351145,0.921875,0.9291338582677166,0.9292517361586748,0.013031954898108157,75
1,0.24621114730834961,0.018329872661897468,0.01855297088623047,0.005198434919366454,0.85,0.1,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9185185185185185,0.9538461538461539,0.916030534351145,0.921875,0.9365079365079365,0.9293556286447509,0.01415558003864615,74
2,0.19804048538208008,0.0197531732832844,0.007712078094482422,0.001216092271512713,0.85,0.1,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.9253731343283582,0.9538461538461539,0.916030534351145,0.921875,0.9291338582677166,0.9292517361586748,0.013031954898108157,75
3,0.24522895812988282,0.024057102933869055,0.01733088493347168,0.005211207537183627,0.85,0.1,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.8378378378378378,0.8378378378378378,0.0,0.33513513513513515,0.41045503797988386,87
4,0.1500685214996338,0.01717423963021102,0.007307004928588867,0.0021453346473414227,0.85,0.5,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9402985074626866,0.944,0.9230769230769231,0.9448818897637795,0.926829268292683,0.9358173177192144,0.00908082050600594,45
5,0.2275167942047119,0.025487384636070788,0.020340156555175782,0.008717027264467447,0.85,0.5,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9473684210526315,0.96875,0.9230769230769231,0.953125,0.944,0.9472640688259109,0.014776188999978214,21
6,0.14536733627319337,0.022275914665012997,0.008322668075561524,0.003541666866193392,0.85,0.5,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.9402985074626866,0.944,0.9230769230769231,0.9448818897637795,0.926829268292683,0.9358173177192144,0.00908082050600594,45
7,0.23897318840026854,0.02145978174986474,0.01455831527709961,0.002279680194281466,0.85,0.5,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.8378378378378378,0.8378378378378378,0.0,0.33513513513513515,0.41045503797988386,87
8,0.15504131317138672,0.010003660396968685,0.009496068954467774,0.003431597947434736,0.85,1.0,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9465648854961832,0.944,0.9384615384615385,0.928,0.9180327868852459,0.9350118421685935,0.010617103604629988,50
9,0.23228788375854492,0.027901452778872852,0.020331478118896483,0.010853308667434756,0.85,1.0,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9545454545454546,0.9763779527559056,0.9457364341085271,0.9612403100775194,0.9448818897637795,0.9565564082502371,0.011595194867172389,3
10,0.15377388000488282,0.019381056435857243,0.0070111751556396484,0.0010465127305990642,0.85,1.0,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.9465648854961832,0.944,0.9384615384615385,0.928,0.9180327868852459,0.9350118421685935,0.010617103604629988,50
11,0.22236995697021483,0.009667589493192344,0.02463951110839844,0.013717738316264896,0.85,1.0,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.06153846153846154,0.03125,0.8551724137931035,0.8435374149659864,0.031746031746031744,0.36464886440871663,0.39592994619440686,86
