sentence	option1	option2
Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.	Ian	Dennis
Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.	Ian	Dennis
The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was empty.	safe	trolley
The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was full.	safe	trolley
I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I stored the _ for now.	raisins	peanuts
I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I ate the _ for now.	raisins	peanuts
Donald was richer than Leslie was because companies had found oil on the property of _ .	Donald	Leslie
Donald was poorer than Leslie was because companies had found oil on the property of _ .	Donald	Leslie
Emily asked her sister Sarah if she needed any tampons or pads from the store, even though _ didn't because she had switched to using menstrual cups.	Emily	Sarah
Emily asked her sister Sarah if she needed any tampons or pads from the store, but _ didn't because she had switched to using menstrual cups.	Emily	Sarah
John poured the entire bowl of fish into the hot pan on the stove until the _ was full.	bowl	pan
John poured the entire bowl of fish into the hot pan on the stove until the _ was empty.	bowl	pan
In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very hesitant with showing their body.	Emily	Felicia
In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very free with showing their body.	Emily	Felicia
I couldn't control the moisture like I controlled the rain, because the _ was coming in at one spot.	moisture	rain
Bill poured the entire bowl of cheese snack into his mouth until the _ was empty.	mouth	bowl
Bill poured the entire bowl of cheese snack into his mouth until the _ was full.	mouth	bowl
Ben played soccer and bowling every week. However, it was easy for him to play in the _ game because he hurt his arm.	bowling	soccer
Ben played soccer and bowling every week. However, it was difficult for him to play in the _ game because he hurt his arm.	bowling	soccer
Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the painful experience from _ made a lot of sense.	Matthew	Jeffrey
Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the agreeable experience from _ made a lot of sense.	Matthew	Jeffrey
Samantha brought a get well card to the hospital but Emily forgot to because _ was preoccupied.	Samantha	Emily
The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. _ felt relieved and elated.	Megan	Mary
The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. _ felt depressed and hopeless.	Megan	Mary
Jan poured the entire cup of lemon juice into the bowl bananas until the _ was empty.	cup	bowl
Jan poured the entire cup of lemon juice into the bowl bananas until the _ was full.	cup	bowl
The insurance company blamed Leslie instead of Logan for the accident since _ had a green light.	Leslie	Logan
The insurance company blamed Leslie instead of Logan for the accident since _ ran a red light.	Leslie	Logan
John cared for the pot while it was being transported in the box but it eventually got broken. The _ is hard.	pot	box
John cared for the pot while it was being transported in the box but it eventually got broken. The _ is fragile.	pot	box
Lawrence made a bowl at the pottery store and Randy accidentally broke it. _ decided to make another.	Lawrence	Randy
Lawrence made a bowl at the pottery store and Randy accidentally broke it. _ offered to make another.	Lawrence	Randy
Tea and coffee should be drunk out of different vessels, cups and mugs respectively. Coffee is usually served in the _ , with milk and sometimes sugar.	cup	mug
Tea and coffee should be drunk out of different vessels, cups and mugs respectively. Tea is usually served in the _ , with milk and sometimes sugar.	cup	mug
James could not get the bag closed because of the clothe in it. The _ is small.	cloth	bag
James could not get the bag closed because of the clothe in it. The _ is plenty.	cloth	bag
When Brenda coated her wood panels with varnish, the concrete surface beneath got stained. The varnish protected and beautified the _ .	wood	concrete
When Brenda coated her wood panels with varnish, the concrete surface beneath got stained. The varnish harmed and uglified the _ .	wood	concrete
James needed a bigger box to collect the silver he exchanged for the gold because the _ is bigger.	silver	gold
James needed a bigger box to collect the silver he exchanged for the gold because the _ is smaller.	silver	gold
Emptying the litter box was a dreaded chore for Adam while Lawrence didn't mind doing it. _ never tried to get someone else to handle it.	Adam	Lawrence
Emptying the litter box was a dreaded chore for Adam while Lawrence didn't mind doing it. _ always tried to get someone else to handle it.	Adam	Lawrence
The gathered  stones in the bag outweigh the collected coins because the _ are small in numbers.	stones	coins
The gathered stones in the bag outweigh the collected coins because the _ are much in numbers.	stones	coins
during the vacation we stayed in the 3 star hotel and not the 5 star hotel because the _ were fully booked.	3 star	5 star
He found he had baking powder for the cake but borrowed baking soda from his neighbor since the _ was full.	soda	powder
He found he had baking powder for the cake but borrowed baking soda from his neighbor since the _ was empty.	soda	powder
Jason was bald, but Hunter had a full head of hair, so _ had no need to buy hair gel.	Jason	Hunter
Jason was bald, but Hunter had a full head of hair, so _ needed to buy hair gel.	Jason	Hunter
Jennifer liked to smoke pot but Laura like to smoke cigars. _ wound up in the local jail for smoking their favorite thing in public.	Jennifer	Laura
Jennifer liked to smoke pot but Laura like to smoke cigars. _ avoided the local jail for smoking their favorite thing in public.	Jennifer	Laura
Michael had to dispose of his water before entering unlike Eric because _ cup was empty.	Michael	Eric
Michael had to dispose of his water before entering unlike Eric because _ cup was full.	Michael	Eric
At dinner, Steven was starving but Ian was already full, so _ ate the pizza slowly.	Steven	Ian
At dinner, Steven was starving but Ian was already full, so _ ate the pizza quickly.	Steven	Ian
Randy went to an ice cream shop because he had a coupon and met Michael there. _ paid full price.	Randy	Michael
Mark was in the drill of gathering proof that proved his company engaged in Age Discrimination but the _ was too much.	proof	drill
Mark was in the drill of gathering proof that proved his company engaged in Age Discrimination but the _ was not sufficient.	proof	drill
Mike went to serve Michelle some beans from the pot onto the plate couldn't put many because the _ was too small.	plate	pot
Mike went to serve Michelle some beans from the pot onto the plate couldn't put many because the _ was so big.	plate	pot
Lindsey did not feel the drip that got Jessica wet because _ was under the leaky spot in the roof.	Lindsey	Jessica
Lindsey did not feel the drip that got Jessica wet because _ was away from the leaky spot in the roof.	Lindsey	Jessica
James went to fill up the barrel with the bucket but found that the _ was full.	barrel	bucket
James went to fill up the barrel with the bucket but found that the _ was empty.	barrel	bucket
The served coffee in the old cups rather than the new glass mugs because the _ were already clean.	mugs	cups
The served coffee in the old cups rather than the new glass mugs because the _ were not washed.	mugs	cups
William showed Randy how to replace the paneling in his home.  _ was talented.	William	Randy
William showed Randy how to replace the paneling in his home.  _ was grateful.	William	Randy
She was able to find a fact about the plate, but not about the cup, because the _ was obscure.	plate	cup
She was able to find a fact about the plate, but not about the cup, because the _ was ubiquitous.	plate	cup
Benjamin used dish soap for an emergency load of laundry while William used water, and so _ had spotted clothes.	Benjamin	William
Amy wanted to go back to work after retiring but Carrie did not because _ was occupied.	Amy	Carrie
The repairman wanted to fix the engines by using a new oil pan and water pump, but the _ lacked oil.	pan	pump
The repairman wanted to fix the engines by using a new oil pan and water pump, but the _ had water leaks.	pan	pump
The pants were sliced both with a knife and then later with razor.  The _ was used second.	knife	razor
The pants were sliced both with a knife and then later with razor.  The _ was used first.	knife	razor
The woman determined the smell in the kitchen was coming from the potatoes instead of the onions, because the _ were rotten.	Potatoes	Onions
The woman determined the smell in the kitchen was coming from the potatoes instead of the onions, because the _ were fresh.	Potatoes	Onions
Elena was skinnier than Lindsey because _ liked to eat a lot of cabbage and vegetables.	Elena	Lindsey
Elena was skinnier than Lindsey because _ didn't like to eat a lot of cabbage and vegetables.	Elena	Lindsey
Because Lindsey liked to go camping more than Natalie, _ found owning a sleeping bag was essential.	Lindsey	Natalie
Because Lindsey liked to go camping more than Natalie, _ didn't believe owning a sleeping bag was essential.	Lindsey	Natalie
Jay washed the glass bowl instead of the plate because the _ was very clean.	bowl	plate
Jay washed the glass bowl instead of the plate because the _ was very dirty.	bowl	plate
James needed more eggplant if he wanted to fill up the pot. He did not know the _ would be that big.	eggplant	pot
James needed more eggplant if he wanted to fill up the pot. He did not know the _ would be that small.	eggplant	pot
Felicia sent an email to Christine, as _ needed some information about the employee benefit from the company they work for 10 years.	Felicia	Christine
Felicia replied to an email from Christine, as _ asked some information about the employee benefit from the company they work for 10 years.	Felicia	Christine
The rice had too much salt in it, but the potato had just enough salt, and as a result the _ was delicious.	potato	rice
The rice had too much salt in it, but the potato had just enough salt, and as a result the _ was gross.	potato	rice
The old car would not fit inside the cluttered garage because the _ was too full.	garage	car
It took Matthew a shorter time to check the inventory than Jason because _ had worked at the company for a short time.	Matthew	Jason
It took Matthew longer to check the inventory than Jason because _ had worked at the company for a short time.	Matthew	Jason
Justin likes cabbage, broccoli and collard greens while Hunter likes fruits. _ grows a garden each year.	Justin	Hunter
Justin likes cabbage, broccoli and collard greens while Hunter likes fruits. _ buys a apples each year.	Justin	Hunter
The cook could safely touch the pot, but had to wait on the pan, because the _ was hot.	pot	pan
The cook could safely touch the pot, but had to wait on the pan, because the _ was cold.	pot	pan
I poured the water from the cup to the pot to make the flower grow, and as I poured, the _ became lighter.	cup	pot
I poured the water from the cup to the pot to make the flower grow, and as I poured, the _ became heavier.	cup	pot
The child wanted to store the shells in the boxes but the _ were too large.	boxes	shells
The child wanted to store the shells in the boxes but the _ were too small.	boxes	shells
Monica was interviewing for a good new position at a technology company and Carrie was giving the interview. _ wanted to be hired.	Monica	Carrie
Monica was interviewing for a good new position at a technology company and Carrie was giving the interview. _ wanted to hire.	Monica	Carrie
The old cards could not squeeze into the boxes because the _ were too thick.	cards	boxes
The old cards could not squeeze into the boxes because the _ were too small.	cards	boxes
He tried to put the chemical from the jug into a new bottler, but it all couldn't go because the _ was too tiny.	chemical	bottle
He tried to put the chemical from the jug into a new bottler, but it all couldn't go because the _ was too much.	chemical	bottle
The carpenter took boards from his truck and put them in the garage until the _ was empty.	garage	truck
The carpenter took boards from his truck and put them in the garage until the _ was full.	garage	truck
The habanero pepper was going to fit in the bottle as the _ was narrow.	pepper	bottle
The habanero pepper was going to fit in the bottle as the _ was wide.	pepper	bottle
Joel needed William to get a contractor license for their company, so _ helped them fill out the paperwork.	Joel	William
Joel needed William to get a contractor license for their company, so they helped _ to fill out the paperwork.	Joel	William
Samantha is having to replace their vacuum bags frequently but not Betty as _ likes to clean the house.	Samantha	Betty
Samantha is having to replace their vacuum bags frequently but not Betty as _ hates to clean the house.	Samantha	Betty
The pan does not get hot fast enough when placed over the flame because the _ is too high.	flame	pan
