Source,Target,Weight
empty,bowl,13
bowl,empty,13
empty,pan,13
pan,empty,13
full,bowl,13
bowl,full,13
full,pan,13
pan,full,13
old,carpet,12
carpet,old,12
old,hardwood,12
hardwood,old,12
trendy,carpet,12
carpet,trendy,12
trendy,hardwood,12
hardwood,trendy,12
stable,metal,11
metal,stable,11
stable,wood,11
wood,stable,11
unstable,metal,11
metal,unstable,11
unstable,wood,11
wood,unstable,11
empty,bag,10
bag,empty,10
empty,bowl,10
bowl,empty,10
full,bag,10
bag,full,10
full,bowl,10
bowl,full,10
empty,bowl,7
bowl,empty,7
empty,cup,7
cup,empty,7
full,bowl,7
bowl,full,7
full,cup,7
cup,full,7
empty,bottle,6
bottle,empty,6
empty,cup,6
cup,empty,6
full,bottle,6
bottle,full,6
full,cup,6
cup,full,6
large,plant,5
plant,large,5
large,pot,5
pot,large,5
small,plant,5
plant,small,5
small,pot,5
pot,small,5
big,car,5
car,big,5
big,garage,5
garage,big,5
small,car,5
car,small,5
small,garage,5
garage,small,5
large,bed,5
bed,large,5
large,room,5
room,large,5
small,bed,5
bed,small,5
small,room,5
room,small,5
long,speech,4
speech,long,4
long,time,4
time,long,4
short,speech,4
speech,short,4
short,time,4
time,short,4
empty,bottle,4
bottle,empty,4
empty,glass,4
glass,empty,4
full,bottle,4
bottle,full,4
full,glass,4
glass,full,4
large,closets,4
closets,large,4
large,clothes,4
clothes,large,4
small,closets,4
closets,small,4
small,clothes,4
clothes,small,4
cold,tea,4
tea,cold,4
cold,water,4
water,cold,4
hot,tea,4
tea,hot,4
hot,water,4
water,hot,4
empty,bottle,4
bottle,empty,4
empty,pan,4
pan,empty,4
full,bottle,4
bottle,full,4
full,pan,4
pan,full,4
old,carpet,4
carpet,old,4
old,concrete,4
concrete,old,4
trendy,carpet,4
carpet,trendy,4
trendy,concrete,4
concrete,trendy,4
hated,Elena,3
Elena,hated,3
hated,Megan,3
Megan,hated,3
loved,Elena,3
Elena,loved,3
loved,Megan,3
Megan,loved,3
less,cake,3
cake,less,3
less,pie,3
pie,less,3
more,cake,3
cake,more,3
more,pie,3
pie,more,3
narrow,backpack,3
backpack,narrow,3
narrow,book,3
book,narrow,3
wide,backpack,3
backpack,wide,3
wide,book,3
book,wide,3
empty,bag,3
bag,empty,3
empty,pot,3
pot,empty,3
full,bag,3
bag,full,3
full,pot,3
pot,full,3
empty,cup,3
cup,empty,3
empty,pan,3
pan,empty,3
full,cup,3
cup,full,3
full,pan,3
pan,full,3
old,carpet,3
carpet,old,3
old,wood,3
wood,old,3
trendy,carpet,3
carpet,trendy,3
trendy,wood,3
wood,trendy,3
big,tree,3
tree,big,3
big,yard,3
yard,big,3
small,tree,3
tree,small,3
small,yard,3
yard,small,3
big,glove,3
glove,big,3
big,hand,3
hand,big,3
small,glove,3
glove,small,3
small,hand,3
hand,small,3
less,Emily,3
Emily,less,3
less,Felicia,3
Felicia,less,3
more,Emily,3
Emily,more,3
more,Felicia,3
Felicia,more,3
because,Angela,3
Angela,because,3
because,Betty,3
Betty,because,3
but,Angela,3
Angela,but,3
but,Betty,3
Betty,but,3
less,Jason,3
Jason,less,3
